Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Display,Office,Warranty
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop,HP,29490,4.2,25,1,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Pro",512,N/A,N/A,1
Acer Aspire 14 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) AS14H-53 Thin and Li...,Acer,54990,4.4,42,8,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
Ultimus APEX Intel Celeron Dual Core 4mm Thin Bezel 180 Degree Hinge - (8 GB/512 GB SSD/Windows 11 Hom...,Ultimus,18490,3.6,71,11,Intel Celeron Dual Core Processor,8 GB LPDDR4 RAM,Pre loaded windows APP,512,N/A,N/A,1
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,HP,30990,4.2,3241,236,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,Apple,67599,4.6,9828,632,Apple M2 Processor,16 GB Unified Memory RAM,Mac OS,256,13.6,N/A,1
HP 15R (2025) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) 15R G9 Thin and Light La...,HP,34450,4.2,194,14,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,"Microsoft Office Pro Plus 2021, Windows 11 Pro",512,N/A,N/A,1
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU T...,HP,35790,4.1,2016,123,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ...,DELL,37990,4.2,389,30,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office H&S 2024, My Dell (Dell Power Manager, Dell Support Assist)",1
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,39990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,Acer,30990,4.1,1196,93,AMD Ryzen 3 Quad Core Processor,16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...,Acer,39990,4.1,2920,306,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Home,1,15.6,N/A,1
"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, Metallic Design, Intel Core i5 13th Gen ...",ASUS,63990,4.4,655,48,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Acer,40990,4.3,1148,74,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,14,N/A,1
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq3149TU / 14s-dq3141TU Thin ...,HP,31933,3.7,412,16,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Home,512,14,N/A,1
